afghanistan	afghan
albania	albanian
algeria	algerian
argentina	argentine
argentina	argentinean
argentina	argentinian
armenia	armenian
australia	australian
australia	aussie
austria	austrian
azerbaijan	azeri
azerbaijan	azerbaijani
bahrain	bahraini
bangladesh	bangladeshi
belarus	belarusian
belgium	belgian
brazil	brazilian
bulgaria	bulgarian
cameroon	cameroonian
canada	canadian
chile	chilean
china	chinese
colombia	colombian
croatia	croatian
cuba	cuban
czech republic	czech
czechoslovakia	czechoslovak
denmark	danish
denmark	dane
dominican republic	dominican
ecuador	ecuadorian
egypt	egyptian
estonia	estonian
finland	finnish
finland	finn
france	french
germany	german
ghana	ghanaian
greece	greek
hong kong	hongkonger
hong kong	hong kongese
hungary	hungarian
iceland	icelander
india	indian
indonesia	indonesian
iran	iranian
iran	persian
iraq	iraqi
israel	israeli
italy	italian
ivory coast	ivoirian
ivory coast	ivorian
jamaica	jamaican
japan	japanese
kazakhstan	kazakhstani
kenya	kenyan
latvia	latvian
lebanon	lebanese
lithuania	lithuanian
malaysia	malaysian
mexico	mexican
morocco	moroccan
netherlands	dutch
new zealand	kiwi
new zealand	new zealander
nigeria	nigerian
norway	norwegian
pakistan	pakistani
paraguay	paraguayan
peru	peruvian
philippines	philippine
philippines	pinoy
philippines	pinay
philippines	filipino
philippines	filipina
poland	polish
poland	polak
poland	pole
portugal	portuguese
puerto rico	boricua
puerto rico	puerto rican
republic of ireland	irish
romania	romanian
russia	russian
saudi arabia	saudi
saudi arabia	saudi arabian
scotland	scottish
scotland	scot
senegal	senegalese
serbia	serbian
singapore	singaporean
slovakia	slovak
slovenia	slovene
south africa	south african
south korea	korean
south korea	south korean
soviet union	soviet
spain	spanish
spain	spaniard
sri lanka	sri lankan
sweden	swedish
sweden	swede
switzerland	swiss
syria	syrian
taiwan	taiwanese
thailand	thai
thailand	siamese
tunisia	tunisian
turkey	turkish
ukraine	ukrainian
united kingdom	british
united kingdom	briton
united states of america	american
uruguay	uruguayan
venezuela	venezuelan
vietnam	vietnamese
zimbabwe	zimbabwean