"ASEAN–India Commemorative Summit"	"South Asian"
"Abkhazia"	"Abkhaz"
"Abkhazia"	"Abkhazian"
"Afghanistan"	"Afghan"
"African Union"	"African"
"Akrotiri and Dhekelia"	"Akrotic-Dhecelic"
"Albania"	"Albanian"
"Algeria"	"Algerian"
"American Samoa"	"American Samoan(official)"
"American Samoa"	"Samoan(colloquial)"
"Ancient Carthage"	"Carthaginian"
"Andorra"	"Andorran"
"Angola"	"Angolan"
"Anguilla"	"Anguillian"
"Antigua and Barbuda"	"Antiguan"
"Antigua and Barbuda"	"Barbudan"
"Arab League"	"Arabs"
"Argentina"	"Argentine"
"Argentina"	"Argentinean"
"Argentina"	"Argentinian"
"Armenia"	"Armenian"
"Aruba"	"Aruban"
"Ashanti Empire"	"Ashanti, asantefo (people), asantebarima (male), asantebasia (female)"
"Ashantiland Peninsula"	"Ashanti"
"Austenasia"	"Austenasian"
"Australia"	"Australian"
"Australia"	"Aussie"
"Australia"	"(colloquial)"
"Austria"	"Austrian"
"Avatele"	"Avatelean"
"Azerbaijan"	"Azeri"
"Azerbaijan"	"Azerbaijani"
"Bahrain"	"Bahraini"
"Bangladesh"	"Bangladeshi"
"Bangsamoro Republik"	"Bangsamoro"
"Barbados"	"Barbadian"
"Barbados"	"Bajan"
"Barony of Caux"	"Caletan or Cauxinard"
"Basque Country (greater region)"	"Basque"
"Belarus"	"Belarusian"
"Belgium"	"Belgian"
"Belize"	"("
"Belize"	")"
"Belize"	"Belizean"
"Benin"	"Beninese"
"Bermuda"	"Bermudian"
"Bhutan"	"Bhutanese"
"Bolivia"	"Bolivian"
"Botswana"	"Batswana"
"Botswana"	"(plural)"
"Botswana"	"Motswana (singular)"
"Brazil"	"Brazilian"
"British Overseas Territories"	"British, Briton"
"British Virgin Islands"	"Virgin Islander"
"Brunei"	"Bruneian"
"Bulgaria"	"Bulgarian"
"Bunyoro"	"Bunyoro or Banyoro"
"Bureau of Ghana Languages"	"Ghanaian"
"Burkina Faso"	"Burkinabe"
"Burkina Faso"	"Burkinabè"
"Burkina Faso"	"Burkinabé"
"Burundi"	"Burundian"
"Cabeça do Cachorro"	"Amazonense (individual from Amazonas state);"
"Cabeça do Cachorro"	"Brasileiro (Brazilian)"
"Cambodia"	"Cambodian"
"Cameroon"	"Cameroonian"
"Canada"	"Canadian"
"Cape Verde"	"Cabo Verdean"
"Carriacou and Petite Martinique"	"Carriacouan"
"Carriacou and Petite Martinique"	"Petit Martiniquian"
"Cascadia (independence movement)"	"Cascadian"
"Cayman Islands"	"Caymanian"
"Central African Republic"	"Central African"
"Central Bosnia Canton"	"Central Bosnian"
"Chad"	"Chadian"
"Cherokee Nation"	"Cherokee/Cherokee Indian"
"Chile"	"Chilean"
"China"	"Chinese"
"Christmas Island"	"Christmas Islander"
"Colombia"	"Colombian"
"Comoros"	"Comorian"
"Cook Islands"	"Cook Islander"
"Costa Rica"	"Tico"
"Costa Rica"	"Costa Rican"
"Cricket Samoa"	"Samoan"
"Croatia"	"Croatian"
"Cuba"	"Cuban"
"Curaçao"	"Curaçaoan - Dutch"
"Cyprus"	"Cypriot"
"Czech Republic"	"Czech"
"Czechoslovakia"	"Czechoslovak"
"Darfur"	"Darfuri and Darfurese"
"Darfur Regional Authority"	"Darfuri"
"Democratic Republic of the Congo"	"Congolese"
"Denmark"	"Danish"
"Denmark"	"Dane"
"Dependencies of Norway"	"Norwegian"
"Djibouti"	"Djiboutian"
"Dominica"	"Dominican"
"Dominican Republic"	"Dominican"
"East Timor"	"East Timorese"
"Ecuador"	"Ecuadorian"
"Egypt"	"Egyptian"
"El Salvador"	"Salvadoran"
"Empire of Atlantium"	"Atlantian"
"Equatorial Guinea"	"Equatoguinean"
"Equatorial Guinea"	"Equatorial Guinean"
"Eritrea"	"Eritrean"
"Estonia"	"Estonian"
"Ethiopia"	"Ethiopian"
"European Union"	"European"
"Falkland Islands"	"Falkland Islander"
"Faroe Islands"	"Faroese"
"Federated States of Micronesia"	"Micronesian"
"Fiji"	"Fijian"
"Finland"	"Finnish"
"Finland"	"Finn"
"France"	"French"
"Free Territory of Trieste"	"Triestine"
"French Polynesia"	"French Polynesian"
"Gabon"	"Gabonaise"
"Gabon"	"Gabonese"
"Gaza Strip"	"Gazan"
"Georgia (country)"	"Georgian"
"Germany"	"German"
"Ghana"	"Ghanaian"
"Gibraltar"	"Llanito"
"Gibraltar"	"Gibraltarian"
"Gold Coast (region)"	"Gold Coastian(Ghanaian)"
"Grand Duchy of Flandrensis"	"Flandriaan, Flandrensisian"
"Grand Duchy of Westarctica"	"Westarctican, Byrdese"
"Grand Duchy of the Lagoan Isles"	"Lagoan(s)"
"Greece"	"Greek"
"Greenland"	"Greenlander"
"Greenland"	"Greenlandic"
"Grenada"	"Grenadian"
"Guam"	"Guamanian"
"Guatemala"	"Guatemalan"
"Guinea"	"Guinean"
"Guinea-Bissau"	"Bissau-Guinean"
"Guyana"	"Guyanese"
"Haiti"	"Haitian"
"Herzegovina-Neretva Canton"	"Herzegovnian-Neretvanian"
"Holy Empire of Reunion"	"Reunian"
"Honduras"	"Catracho"
"Honduras"	"Honduran"
"Hong Kong"	"Hongkonger"
"Hong Kong"	"Hong Kongese"
"Hungary"	"Hungarian"
"Iceland"	"Icelander"
"India"	"Indian"
"Indonesia"	"Indonesian"
"Iran"	"Iranian, Persian"
"Iraq"	"Iraqi"
"Iraqi Kurdistan"	"Kurd"
"Isle of Man"	"Manx"
"Israel"	"Israeli"
"Italy"	"Italian"
"Ivory Coast"	"Ivoirian"
"Ivory Coast"	"Ivorian"
"Jamaica"	"Jamaican"
"Japan"	"Japanese"
"Jordan"	"Jordanian"
"Jubaland"	"Somali"
"Jubaland"	"Somalian"
"Jubaland"	"*Jubalander"
"Karakalpakstan"	"Karakalpak"
"Kazakhstan"	"Kazakhstani"
"Kenya"	"Kenyan"
"Khatumo State"	"Somali"
"Khatumo State"	"Somalian"
"Khatumo State"	"*Khatumite"
"Kingdom of Dagbon"	"Mole–Dagbani"
"Kingdom of Tavolara"	"Tavolaran"
"Kingdom of Wallachia"	"Moravian Wallachian"
"Kingdom of the Netherlands"	"Dutch"
"Kiribati"	"I-Kiribati"
"Kosovo"	"Kosovar, Kosovan"
"Kuwait"	"Kuwaiti"
"Kyrgyzstan"	"Kyrgyz"
"Laos"	"LaotianLao"
"Latvia"	"Latvian"
"Lebanon"	"Lebanese"
"Lesotho"	"Basotho"
"Lesotho"	"Mosotho"
"Liberia"	"Liberian"
"Libya"	"Libyan"
"Liechtenstein"	"Liechtensteiner"
"Liechtenstein"	"Liechtensteinerin"
"Lithuania"	"Lithuanian"
"Luxembourg"	"Luxembourger"
"Macau"	"Macanese"
"Madagascar"	"Malagasy"
"Malawi"	"Malawian"
"Malaysia"	"Malaysian"
"Maldives"	"Maldivian"
"Mali"	"Malian"
"Malta"	"Maltese"
"Marshall Islands"	"Marshallese"
"Mauritania"	"Mauritanian"
"Mauritius"	"Mauritian"
"Mexico"	"Mexican"
"Moldova"	"Moldovan"
"Monaco"	"Monacan"
"Monaco"	"Monégasque"
"Mongolia"	"Mongolian"
"Mongolia"	"Mongol"
"Montenegro"	"Montenegrin"
"Montserrat"	"Montserratian"
"Morocco"	"Moroccan"
"Mount Athos"	"Agiorite (Αγιορείτης)"
"Mount Athos"	"Athonite (Αθωνίτης)"
"Mozambique"	"Mozambican"
"Myanmar"	"BurmeseMyanma"
"Namibia"	"Namibian"
"Nation.1"	"Child"
"Nauru"	"Nauruan"
"Nepal"	"Nepalese"
"Nepal"	"Nepali"
"Netherlands"	"Dutch"
"Netherlands Antilles"	"Netherlands Antillean"
"Nevis"	"Nevisian"
"New Caledonia"	"New Caledonians"
"New Zealand"	"Kiwi"
"New Zealand"	"New Zealander"
"New Zealand"	"(informal)"
"Nicaragua"	"Nicoya"
"Nicaragua"	"Nicaraguan"
"Nicaragua"	"Nica"
"Nicaragua"	"Pinolero"
"Niger"	"Nigerien(or)"
"Nigeria"	"Nigerian"
"Niue"	"Niuean"
"Norfolk Island"	"Norfolk Islander"
"North Korea"	"Korean"
"North Korea"	"North Korean"
"Northern Cyprus"	"Turkish Cypriot"
"Northern Mariana Islands"	"Chamorro (colloquial)"
"Northern Mariana Islands"	"Mariana Islander (formal)"
"Norway"	"Norwegian"
"Norway"	"(InNorwegian: Nordmann)"
"Oman"	"Omani"
"Overseas departments and territories of France"	"French"
"Pakistan"	"Pakistani"
"Palau"	"Palauan"
"Palestinian territories"	"Palestinians"
"Palestinian territories"	"Israeli/Jewish settlers"
"Panama"	"Panamanian"
"Papua New Guinea"	"Papua New Guinean"
"Paraguay"	"Paraguayan"
"Paraguayan architecture"	"Paraguayan"
"Peru"	"Peruvian"
"Philippines"	"Philippine (English)"
"Philippines"	"Pinoy (colloquial masculine)Pinay (colloquial feminine)"
"Philippines"	"Filipino (masculine)Filipina (feminine)"
"Pitcairn Islands"	"Pitcairn Islander"
"Poland"	"Polish"
"Poland"	"Polak"
"Poland"	"Pole"
"Portugal"	"Portuguese"
"Posavina Canton"	"Posavinian"
"Principality of Freedonia"	"Freedonian"
"Principality of Hutt River"	"Hutt Riverian"
"Principality of Outer Baldonia"	"Baldonian"
"Principality of Sealand"	"Sealander, Sealandic"
"Principality of Seborga"	"Seborgan"
"Principality of Wales"	"Welsh, Cymreig"
"Principality of Wy"	"Wyze"
"Prussia"	"Prussian"
"Puerto Rico"	"Boricua(colloquial)"
"Puerto Rico"	"Puerto Rican(formal)"
"Puntland"	"Puntlander"
"Qatar"	"Qatari"
"Republic of Ireland"	"Irish"
"Republic of Macedonia"	"Macedonian"
"Republic of Vevčani"	"Vevčanese"
"Republic of the Congo"	"Congolese"
"Riva (Belgariad and Malloreon)"	"Rivan"
"Romania"	"Romanian"
"Rotuma"	"Rotuman"
"Russia"	"Russian"
"Rwanda"	"Rwandan"
"Rwanda"	"Rwandese"
"Sahrawi Arab Democratic Republic"	"Sahrawi"
"Sahrawi Arab Democratic Republic"	"Western Saharan"
"Saint Barthélemy"	"Barthélemois(es)"
"Saint Helena"	"Sainta"
"Saint Kitts and Nevis"	"Kittitian or Nevisian"
"Saint Lucia"	"Saint Lucian"
"Saint Pierre and Miquelon"	"Miquelonnais"
"Saint Pierre and Miquelon"	"Saint-Pierrais"
"Saint Vincent and the Grenadines"	"Vincentian, Vincy"
"Samoa"	"Samoan"
"San Marino"	"Sammarinese"
"Saudi Arabia"	"Saudi"
"Saudi Arabia"	"Saudi Arabian"
"Savoy"	"Savoyard (in widespread use nowadays), Savoisian (name before annexation), Savoyan(historic; today uncommon)"
"Scotland"	"Scottish"
"Scotland"	"Scot"
"Senegal"	"Senegalese"
"Serbia"	"Serbian"
"Seychelles"	"Seselwa"
"Seychelles"	"Seychellois"
"Seychelles"	"Seychelloise"
"Sierra Leone"	"Sierra Leonean"
"Singapore"	"Singaporean"
"Sint Maarten"	"St. Maartener"
"Slovakia"	"Slovak"
"Slovenia"	"Slovene"
"Solomon Islands"	"Solomon Islander"
"Somalia"	"Somali"
"Somalia"	"Somalian"
"Somaliland"	"Somali"
"Somaliland"	"Somalian"
"Somaliland"	"Somali;"
"South Africa"	"South African"
"South Asian Association for Regional Cooperation"	"South Asian"
"South Georgia and the South Sandwich Islands"	"South Georgian"
"South Georgia and the South Sandwich Islands"	"South Sandwich Islander"
"South Korea"	"Korean"
"South Korea"	"South Korean"
"South Sudan"	"South Sudanese"
"Soviet Union"	"Soviet"
"Spain"	"Spanish"
"Spain"	"Spaniard"
"Special administrative regions of China"	"Chinese"
"Sri Lanka"	"Sri Lankan"
"Subanon people"	"Subanen"
"Sudan"	"Sudanese"
"Suriname"	"Surinamese"
"Swaziland"	"Swazi"
"Sweden"	"Swedish"
"Sweden"	"Swede"
"Switzerland"	"Swiss"
"Syria"	"Syrian"
"São Tomé and Príncipe"	"Santomean"
"São Tomé and Príncipe"	"São Toméan"
"Taiwan"	"Taiwanese"
"Tajikistan"	"Tajikistani"
"Talossa"	"Talossan"
"Tanzania"	"Tanzanian"
"Tepic Territory"	"Tepicense"
"Territories of the United States"	"American"
"Thailand"	"Thai"
"Thailand"	"Siamese(archaic)"
"The Bahamas"	"Bahamian"
"The Gambia"	"Gambian"
"Togo"	"Togolese"
"Tokelau"	"Tokelauan"
"Tonga"	"Tongan"
"Torres Strait Islands"	"Torres Strait Islander"
"Torres Strait Regional Authority"	"Torres Strait Islander"
"Tristan da Cunha"	"Tristanian"
"Tunisia"	"Tunisian"
"Turkey"	"Turkish"
"Turkmenistan"	"Turkmen"
"Turks and Caicos Islands"	"Turks and Caicos Islander"
"Tuvalu"	"Tuvaluan"
"Ukraine"	"Ukrainian"
"Una-Sana Canton"	"Una-Sanian"
"United Arab Emirates"	"Emirati"
"United Arab Emirates"	"Emiri"
"United Arab Emirates"	"Emirian"
"United Kingdom"	"British"
"United Kingdom"	"Briton"
"United Kingdom of Great Britain and Ireland"	"British"
"United States of America"	"American"
"United States Minor Outlying Islands"	"American"
"United States Minor Outlying Islands"	"Islander"
"United States Virgin Islands"	"Virgin Islander"
"Uruguay"	"Uruguayan"
"Uzbekistan"	"Uzbek"
"Vanuatu"	"Ni-Vanuatu"
"Venezuela"	"Venezuelan"
"Vietnam"	"Vietnamese"
"Wallis (island)"	"Wallisian"
"Wallis and Futuna"	"Futunan"
"Wallis and Futuna"	"Wallisian"
"West Herzegovina Canton"	"West Herzegovinian"
"West Indies Federation"	"West Indian"
"Wirtland (micronation)"	"Wirtlander; Witizen"
"Yemen"	"Yemeni"
"Zambia"	"Zambian"
"Zanzibar"	"Zanzibari"
"Zimbabwe"	"Zimbabwean"
"Åland Islands"	"Ålandish"
"Åland Islands"	"Ålandic"
